Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
54;"40.658605,22.947735";"40.658496,22.947631";Σβορώνου;Σβορώνου;PASS;Thessaloniki
55;"40.648236,22.938049";"40.64837,22.938058";Καυκάσου;Καυκάσου;PASS;Thessaloniki
56;"40.625125,22.956119";"40.62517,22.956286";Γρ Λαμπράκη;Γρηγορίου Λαμπράκη;PASS;Thessaloniki
57;"40.627111,22.94969";"40.627001,22.949587";Στρ Τσιρογιάννη;Τσιρογιάννη;PASS;Thessaloniki
58;"40.645648,22.939965";"40.645765,22.940054";Θερίσου;Στράτη Μυριβήλη;FAIL;Thessaloniki
59;"40.65641,22.951097";"40.656518,22.951203";Ελπίδος;Ελπίδος;PASS;Thessaloniki
60;"40.647932,22.960778";"40.647994,22.960621";Σκρα;Σκρα;PASS;Thessaloniki
61;"40.620296,22.955835";"40.62043,22.955812";Ευζώνων;Ευζώνων;PASS;Thessaloniki
62;"40.637153,22.948247";"40.63723,22.948101";Αμύντα;Αμύντα;PASS;Thessaloniki
63;"40.656931,22.958225";"40.657016,22.958087";Αγίου Ιωάννου Θεολόγου;Βίτσι;FAIL;Thessaloniki
64;"40.652573,22.958359";"40.652655,22.958499";Δημητσάνας;Δημητσάνας;PASS;Thessaloniki
65;"40.642007,22.932038";"40.641934,22.932187";Προμηθέως;Προμηθέως;PASS;Thessaloniki
66;"40.645898,22.936976";"40.646022,22.936904";Τυρολόης;Μητροπολίτου Τυρολόης;PASS;Thessaloniki
67;"40.638784,22.946527";"40.638674,22.946426";Ολύμπου;Ολύμπου;PASS;Thessaloniki
68;"40.639558,22.952548";"40.63967,22.95245";Πλατεία Βασ. Ρομφέη;Πλατεία Βασ. Ρομφέη;PASS;Thessaloniki
69;"40.651808,22.932102";"40.651817,22.931924";28ης Οκτωβρίου;28ης Οκτωβρίου;PASS;Thessaloniki
70;"40.623479,22.961784";"40.623416,22.961628";Γρ Λαμπράκη;Γρηγορίου Λαμπράκη;PASS;Thessaloniki
71;"40.64291,22.940526";"40.642885,22.940351";Θάλειας;Θαλείας;PASS;Thessaloniki
72;"40.639775,22.938725";"40.639885,22.938827";Καραόλη και Δημητρίου;Καραολή και Δημητρίου των Κυπρίων;PASS;Thessaloniki
73;"40.651669,22.931186";"40.651539,22.931236";Καμέλιας;Καμέλιας;PASS;Thessaloniki
74;"40.640092,22.923361";"40.640075,22.923537";Καρατάσου;UNKNOWN;FAIL;Thessaloniki
75;"40.6545,22.954146";"40.654456,22.954314";Αλεξάνδρου Σβώλου;Αλεξάνδρου Σβώλου;PASS;Thessaloniki
76;"40.642835,22.949234";"40.642752,22.949375";Κυκλάδων;Στράτωνος;FAIL;Thessaloniki
77;"40.65325,22.945604";"40.653216,22.945776";Βασ Κωνσταντίνου;Βασιλέως Κωνσταντίνου;PASS;Thessaloniki
78;"40.646373,22.956486";"40.646345,22.956312";Περγάμου;Περγάμου;PASS;Thessaloniki
79;"40.640309,22.946493";"40.640384,22.946345";Ιωακείμ Σγουρού;Ιωακείμ Σγουρού;PASS;Thessaloniki
80;"40.662574,22.949705";"40.662551,22.94988";Καραισκάκη;Καραϊσκάκη;PASS;Thessaloniki
81;"40.661358,22.957526";"40.661253,22.957416";Αργοναυτών;Αργοναυτών;PASS;Thessaloniki
82;"40.646745,22.923043";"40.646667,22.923188";Κερδυλλίων;Κερδυλλίων;PASS;Thessaloniki
83;"40.637326,22.957333";"40.637435,22.957438";Λεωφ Όχι;UNKNOWN;FAIL;Thessaloniki
84;"40.655868,22.959948";"40.655952,22.95981";Καλλιθέας;Καλλιθέας;PASS;Thessaloniki
85;"40.649304,22.932414";"40.649193,22.932313";Δημ Χαλκοκονδύλη;Χαλκοκονδύλη;PASS;Thessaloniki
86;"40.632819,22.954959";"40.632708,22.954856";Εγνατία;Εγνατία;PASS;Thessaloniki
87;"40.652798,22.939911";"40.652908,22.939809";Μουδανιών;Μουδανιών;PASS;Thessaloniki
88;"40.653237,22.930624";"40.653113,22.930696";Κουτήφαρη;Κουτηφάρη;PASS;Thessaloniki
89;"40.659661,22.954158";"40.65953,22.954198";Αισώπου;Αισώπου;PASS;Thessaloniki
90;"40.646649,22.941084";"40.646755,22.940979";Καυκάσου;Καυκάσου;PASS;Thessaloniki
91;"40.644006,22.952646";"40.644133,22.952585";Καραβαγγέλη;Καραβαγγέλη;PASS;Thessaloniki
92;"40.657828,22.929929";"40.657705,22.929856";Αγία Δημητρίου;Πατριάρχου Γρηγορίου Ε';FAIL;Thessaloniki
93;"40.657099,22.926639";"40.65721,22.926537";Β. Μανούκα;Β. Μανούκα;PASS;Thessaloniki
94;"40.659186,22.928159";"40.659064,22.928081";Αλκιαβιάδου;Αλκιβιάδου;PASS;Thessaloniki
95;"40.648291,22.943556";"40.648382,22.943687";Κολοκοτρώνη;Τραπεζούντος;FAIL;Thessaloniki
96;"40.650931,22.92284";"40.650936,22.923017";Πέραν;Πέραν;PASS;Thessaloniki
97;"40.650884,22.942175";"40.650805,22.942031";Μιχαήλ Καραόλη;Μ. Καραολή;PASS;Thessaloniki
98;"40.65811,22.946931";"40.658244,22.946945";Ελπίδος;Ελπίδος;PASS;Thessaloniki
99;"40.649711,22.924213";"40.649601,22.924112";Αγάθωνος;Αγάθωνος;PASS;Thessaloniki
100;"40.632395,22.964125";"40.632397,22.964303";Σκοπού;Σκοπού;PASS;Thessaloniki
