Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
60;"38.255702,21.753829";"38.255653,21.753987";Λεβιδίου;Λεβιδίου;PASS;Patras
61;"38.237964,21.739982";"38.238035,21.740128";Χείλωνος Πατρέως;Χείλωνος Πατρέων;PASS;Patras
62;"38.242078,21.753738";"38.242069,21.75391";Δαφνομήλη;Ναυπάκτου;FAIL;Patras
63;"38.240962,21.738934";"38.240903,21.739088";Λόντου;Λόντου;PASS;Patras
64;"38.258067,21.742696";"38.258109,21.742533";Ελλήνος Στρατιώτου;Έλληνος Στρατιώτου;PASS;Patras
65;"38.239709,21.742133";"38.23964,21.742281";Ευνάρδου;Ευνάρδου (Νέο Τμήμα);PASS;Patras
66;"38.231905,21.727282";"38.231875,21.727115";Μαιζώνος;Μαιζώνος;PASS;Patras
67;"38.247674,21.738497";"38.247771,21.738378";Κορίνθου;Κορίνθου;PASS;Patras
68;"38.229623,21.73224";"38.229752,21.732292";Στρατού Σταμούλη;Σταμούλη Στράτου;PASS;Patras
69;"38.24437,21.734193";"38.244469,21.734076";Κορίνθου;Κορίνθου;PASS;Patras
70;"38.233508,21.740449";"38.233376,21.740487";Δορυλαίου;Δορυλαίου;PASS;Patras
71;"38.26427,21.739401";"38.264135,21.7394";Διαγόρα;Διαγόρα;PASS;Patras
72;"38.255221,21.740964";"38.255177,21.741126";Μακεδονίας;Μακεδονίας;PASS;Patras
73;"38.245046,21.747974";"38.244956,21.747846";Μίνθης;UNKNOWN;FAIL;Patras
74;"38.234618,21.749014";"38.234706,21.749144";Ιπποκράτους;Ιπποκράτους;PASS;Patras
75;"38.247186,21.739451";"38.24728,21.739574";Αράτου;Αράτου;PASS;Patras
76;"38.251158,21.738532";"38.251062,21.738653";Ρήγα Φεραίου;Ρήγα Φεραίου;PASS;Patras
77;"38.232905,21.746679";"38.233032,21.746622";Δίρφυς;Δίρφης;PASS;Patras
78;"38.255818,21.739102";"38.255779,21.739266";Ηπείρου;Ηπείρου;PASS;Patras
79;"38.247097,21.737201";"38.247,21.737321";Κανακάρη;Κανακάρη;PASS;Patras
80;"38.25142,21.743574";"38.251319,21.74346";28ης Οκτωβρίου;28ης Οκτωβρίου;PASS;Patras
